Product_ID,Product_Name,Category,Current_Stock,Units_Sold_Last_7_Days,Average_Daily_Sales,Demand_Forecast,Restock
P001,Salwar,Traditional Wear,76,10,1.39,16.54,NO
P002,T-Shirt,T-Shirt,109,8,1.15,12.61,YES
P003,Kids Dress,Kids Wear,68,10,1.52,12.07,NO
P004,Women's Top,Women's Wear,57,117,15.2,97.21,YES
P005,Palazzo,Women's Wear,105,52,7.89,75.67,YES
P006,Chudidar,Traditional Wear,43,21,2.81,19.26,NO
P007,Kids Dress,Kids Wear,73,19,2.72,30.85,NO
P008,Jeans,Jeans,55,0,0.0,0.8,NO
P009,Salwar,Traditional Wear,170,59,8.01,92.5,NO
P010,Casual Shirt,Shirt,126,96,13.02,123.66,NO
P011,Cotton Saree,Saree,161,134,18.77,134.6,NO
P012,Salwar,Traditional Wear,29,18,2.77,19.54,NO
P013,Palazzo,Women's Wear,70,82,10.54,100.64,YES
P014,Palazzo,Women's Wear,197,116,17.9,193.08,NO
P015,Chudidar,Traditional Wear,117,21,2.79,28.81,NO
P016,Jeans,Jeans,54,50,7.84,59.87,YES
P017,T-Shirt,T-Shirt,66,61,9.51,69.99,YES
P018,Chudidar,Traditional Wear,140,82,11.7,69.73,YES
P019,Chudidar,Traditional Wear,2,40,5.73,57.36,YES
P020,Cotton Saree,Saree,25,36,5.12,34.74,YES
P021,Kurti,Kurti,56,67,9.83,83.39,YES
P022,Jeans,Jeans,125,115,15.08,145.93,YES
P023,Silk Saree,Saree,151,128,16.58,198.41,YES
P024,Chudidar,Traditional Wear,52,65,8.46,67.89,YES
P025,Leggings,Women's Wear,197,93,13.14,99.66,NO
P026,Men's Dhoti,Men's Wear,42,63,8.6,88.02,YES
P027,Kurti,Kurti,187,34,4.98,47.52,NO
P028,Silk Saree,Saree,185,50,7.85,63.96,NO
P029,Leggings,Women's Wear,48,19,2.65,31.28,NO
P030,Jeans,Jeans,41,49,7.1,81.35,YES
P031,Cotton Shirt,Shirt,193,99,13.9,102.35,NO
P032,Leggings,Women's Wear,10,21,3.21,24.42,YES
P033,Casual Shirt,Shirt,102,93,14.35,131.61,YES
P034,Kurti,Kurti,97,7,1.08,11.6,YES
P035,Kids Dress,Kids Wear,145,42,6.57,41.99,NO
P036,Leggings,Women's Wear,84,43,5.56,57.88,NO
P037,Formal Shirt,Shirt,99,31,4.73,47.99,NO
P038,Cotton Shirt,Shirt,103,69,10.35,76.48,NO
P039,Palazzo,Women's Wear,179,93,12.56,128.77,NO
P040,Palazzo,Women's Wear,45,58,9.04,108.32,NO
P041,Women's Top,Women's Wear,43,12,1.59,11.23,NO
P042,Casual Shirt,Shirt,21,9,1.33,11.38,NO
P043,Leggings,Women's Wear,180,85,11.47,101.61,NO
P044,Leggings,Women's Wear,186,22,3.1,37.29,NO
P045,Women's Top,Women's Wear,113,0,0.0,0.25,NO
P046,Men's Dhoti,Men's Wear,124,19,2.75,24.74,NO
P047,Men's Dhoti,Men's Wear,123,23,3.24,36.29,NO
P048,Women's Top,Women's Wear,29,46,6.34,59.44,YES
P049,Men's Dhoti,Men's Wear,7,25,3.81,36.88,YES
P050,Cotton Saree,Saree,97,74,9.82,76.39,NO
P051,Leggings,Women's Wear,56,58,8.17,59.99,YES
P052,Salwar,Traditional Wear,110,60,9.26,70.87,NO
P053,T-Shirt,T-Shirt,72,21,3.21,30.05,NO
P054,Formal Shirt,Shirt,114,31,4.34,28.49,NO
P055,Cotton Saree,Saree,19,26,3.91,46.24,YES
P056,Jeans,Jeans,24,140,21.29,147.89,YES
P057,Cotton Saree,Saree,18,29,4.47,34.53,YES
P058,Salwar,Traditional Wear,4,78,11.24,103.92,YES
P059,Jeans,Jeans,74,37,4.97,51.91,NO
P060,Formal Shirt,Shirt,127,32,4.35,29.54,NO
P061,Salwar,Traditional Wear,71,116,15.89,127.2,YES
P062,Silk Saree,Saree,154,23,3.35,39.15,NO
P063,T-Shirt,T-Shirt,39,17,2.2,16.61,NO
P064,Formal Shirt,Shirt,25,10,1.47,11.54,NO
P065,Leggings,Women's Wear,26,66,9.17,102.4,YES
